glyph_id_hex,raw_token,unicode,unicode_codepoint,evidence_class,semantic_tier,distinct_wgf_contexts,distinct_jp_contexts,jp_reference_table_value
0x111,EC 11,三,U+4E09,CONTEXT_SUPPORTED,A_STRONG,12,10,三
0x113,EC 13,原,U+539F,CONTEXT_SUPPORTED,A_STRONG,16,13,原
0x114,EC 14,西,U+897F,CONTEXT_SUPPORTED,A_STRONG,12,10,西
0x116,EC 16,大,U+5927,CONTEXT_SUPPORTED,A_STRONG,255,221,大
0x117,EC 17,作,U+4F5C,CONTEXT_SUPPORTED,A_STRONG,23,21,作
0x119,EC 19,小,U+5C0F,CONTEXT_SUPPORTED,A_STRONG,25,21,小
0x11A,EC 1A,介,U+4ECB,CONTEXT_SUPPORTED,A_STRONG,8,7,介
0x121,EC 21,铁,U+94C1,CONTEXT_SUPPORTED,A_STRONG,9,7,鉄
0x122,EC 22,也,U+4E5F,CONTEXT_SUPPORTED,A_STRONG,113,96,也
0x127,EC 27,早,U+65E9,CONTEXT_SUPPORTED,A_STRONG,18,14,早
0x129,EC 29,女,U+5973,CONTEXT_SUPPORTED,A_STRONG,13,12,女
0x12A,EC 2A,临,U+4E34,CONTEXT_SUPPORTED,A_STRONG,2,2,臨
0x12B,EC 2B,营,U+8425,CONTEXT_SUPPORTED,A_STRONG,7,5,営
0x12E,EC 2E,欢,U+6B22,CONTEXT_SUPPORTED,A_STRONG,11,9,歓
0x12F,EC 2F,太,U+592A,CONTEXT_SUPPORTED,A_STRONG,35,34,太
0x133,EC 33,明,U+660E,CONTEXT_SUPPORTED,A_STRONG,13,12,明
0x134,EC 34,日,U+65E5,CONTEXT_SUPPORTED,A_STRONG,32,26,日
0x13A,EC 3A,民,U+6C11,CONTEXT_SUPPORTED,A_STRONG,16,13,民
0x13C,EC 3C,男,U+7537,CONTEXT_SUPPORTED,A_STRONG,9,8,男
0x140,EC 40,场,U+573A,CONTEXT_SUPPORTED,A_STRONG,11,9,場
0x145,EC 45,之,U+4E4B,CONTEXT_SUPPORTED,A_STRONG,10,8,之
0x14B,EC 4B,超,U+8D85,CONTEXT_SUPPORTED,A_STRONG,21,18,超
0x14C,EC 4C,电,U+7535,CONTEXT_SUPPORTED,A_STRONG,22,18,電
0x14D,EC 4D,磁,U+78C1,CONTEXT_SUPPORTED,A_STRONG,8,7,磁
0x151,EC 51,动,U+52A8,CONTEXT_SUPPORTED,A_STRONG,48,43,動
0x152,EC 52,战,U+6218,CONTEXT_SUPPORTED,A_STRONG,71,63,戦
0x153,EC 53,斗,U+6597,CONTEXT_SUPPORTED,A_STRONG,33,29,闘
0x154,EC 54,攻,U+653B,CONTEXT_SUPPORTED,A_STRONG,17,15,攻
0x155,EC 55,击,U+51FB,CONTEXT_SUPPORTED,A_STRONG,42,37,撃
0x156,EC 56,器,U+5668,CONTEXT_SUPPORTED,A_STRONG,17,15,器
0x157,EC 57,命,U+547D,CONTEXT_SUPPORTED,A_STRONG,17,13,命
0x158,EC 58,中,U+4E2D,CONTEXT_SUPPORTED,A_STRONG,37,31,中
0x15E,EC 5E,最,U+6700,CONTEXT_SUPPORTED,A_STRONG,12,11,最
0x161,EC 61,量,U+91CF,CONTEXT_SUPPORTED,A_STRONG,18,14,量
0x162,EC 62,装,U+88C5,CONTEXT_SUPPORTED,A_STRONG,20,18,装
0x165,EC 65,反,U+53CD,CONTEXT_SUPPORTED,A_STRONG,15,12,反
0x166,EC 66,应,U+5E94,CONTEXT_SUPPORTED,A_STRONG,15,12,応
0x167,EC 67,速,U+901F,CONTEXT_SUPPORTED,A_STRONG,16,14,速
0x16D,EC 6D,管,U+7BA1,CONTEXT_SUPPORTED,A_STRONG,10,8,管
0x16E,EC 6E,用,U+7528,CONTEXT_SUPPORTED,A_STRONG,16,14,用
0x16F,EC 6F,地,U+5730,CONTEXT_SUPPORTED,A_STRONG,141,120,地
0x170,EC 70,上,U+4E0A,CONTEXT_SUPPORTED,A_STRONG,99,88,上
0x171,EC 71,回,U+56DE,CONTEXT_SUPPORTED,A_STRONG,22,17,回
0x173,EC 73,白,U+767D,CONTEXT_SUPPORTED,A_STRONG,17,14,白
0x175,EC 75,气,U+6C14,CONTEXT_SUPPORTED,A_STRONG,11,10,気
0x176,EC 76,直,U+76F4,CONTEXT_SUPPORTED,A_STRONG,13,11,直
0x177,EC 77,感,U+611F,CONTEXT_SUPPORTED,A_STRONG,17,15,感
0x17E,EC 7E,次,U+6B21,CONTEXT_SUPPORTED,A_STRONG,27,24,次
0x17F,EC 7F,正,U+6B63,CONTEXT_SUPPORTED,A_STRONG,35,28,正
0x182,EC 82,国,U+56FD,CONTEXT_SUPPORTED,A_STRONG,24,20,国
0x183,EC 83,光,U+5149,CONTEXT_SUPPORTED,A_STRONG,74,63,光
0x184,EC 84,子,U+5B50,CONTEXT_SUPPORTED,A_STRONG,87,75,子
0x18B,EC 8B,飞,U+98DE,CONTEXT_SUPPORTED,A_STRONG,82,71,飛
0x18C,EC 8C,行,U+884C,CONTEXT_SUPPORTED,A_STRONG,62,52,行
0x18D,EC 8D,试,U+8BD5,CONTEXT_SUPPORTED,A_STRONG,57,52,試
0x191,EC 91,要,U+8981,CONTEXT_SUPPORTED,A_STRONG,111,94,要
0x192,EC 92,塞,U+585E,CONTEXT_SUPPORTED,A_STRONG,25,20,塞
0x193,EC 93,敌,U+654C,CONTEXT_SUPPORTED,A_STRONG,32,27,敵
0x199,EC 99,所,U+6240,CONTEXT_SUPPORTED,A_STRONG,52,43,所
0x19A,EC 9A,长,U+957F,CONTEXT_SUPPORTED,A_STRONG,17,15,長
0x1A3,EC A3,弹,U+5F39,CONTEXT_SUPPORTED,A_STRONG,71,62,弾
0x1A4,EC A4,将,U+5C06,CONTEXT_SUPPORTED,A_STRONG,17,14,将
0x1A5,EC A5,军,U+519B,CONTEXT_SUPPORTED,A_STRONG,42,35,軍
0x1A6,EC A6,事,U+4E8B,CONTEXT_SUPPORTED,A_STRONG,91,79,事
0x1A7,EC A7,尉,U+5C09,CONTEXT_SUPPORTED,A_STRONG,17,15,尉
0x1A8,EC A8,方,U+65B9,CONTEXT_SUPPORTED,A_STRONG,68,57,方
0x1AC,EC AC,布,U+5E03,CONTEXT_SUPPORTED,A_STRONG,32,27,布
0x1AD,EC AD,扩,U+6269,CONTEXT_SUPPORTED,A_STRONG,10,9,拡
0x1AE,EC AE,炮,U+70AE,CONTEXT_SUPPORTED,A_STRONG,186,160,砲
0x1B5,EC B5,对,U+5BF9,CONTEXT_SUPPORTED,A_STRONG,64,56,対
0x1B7,EC B7,重,U+91CD,CONTEXT_SUPPORTED,A_STRONG,23,20,重
0x1B8,EC B8,高,U+9AD8,CONTEXT_SUPPORTED,A_STRONG,23,19,高
0x1B9,EC B9,压,U+538B,CONTEXT_SUPPORTED,A_STRONG,5,4,圧
0x1BD,EC BD,分,U+5206,CONTEXT_SUPPORTED,A_STRONG,41,35,分
0x1BE,EC BE,基,U+57FA,CONTEXT_SUPPORTED,A_STRONG,13,11,基
0x1BF,EC BF,死,U+6B7B,CONTEXT_SUPPORTED,A_STRONG,24,21,死
0x1C2,EC C2,发,U+53D1,CONTEXT_SUPPORTED,A_STRONG,19,18,発
0x1C3,EC C3,简,U+7B80,CONTEXT_SUPPORTED,A_STRONG,8,7,簡
0x1C5,EC C5,拜,U+62DC,CONTEXT_SUPPORTED,A_STRONG,9,7,拝
0x1C7,EC C7,样,U+6837,CONTEXT_SUPPORTED,A_STRONG,70,58,様
0x1CD,EC CD,激,U+6FC0,CONTEXT_SUPPORTED,A_STRONG,31,25,激
0x1CF,EC CF,谋,U+8C0B,CONTEXT_SUPPORTED,A_STRONG,8,6,謀
0x1D6,EC D6,邦,U+90A6,CONTEXT_SUPPORTED,A_STRONG,9,8,邦
0x1D7,EC D7,百,U+767E,CONTEXT_SUPPORTED,A_STRONG,2,2,百
0x1D8,EC D8,式,U+5F0F,CONTEXT_SUPPORTED,A_STRONG,17,15,式
0x1D9,EC D9,号,U+53F7,CONTEXT_SUPPORTED,A_STRONG,19,15,号
0x1DA,EC DA,名,U+540D,CONTEXT_SUPPORTED,A_STRONG,19,16,名
0x1DC,EC DC,火,U+706B,CONTEXT_SUPPORTED,A_STRONG,44,38,火
0x1DF,EC DF,理,U+7406,CONTEXT_SUPPORTED,A_STRONG,25,22,理
0x1E3,EC E3,争,U+4E89,CONTEXT_SUPPORTED,A_STRONG,8,7,争
0x1E5,EC E5,了,U+4E86,CONTEXT_SUPPORTED,A_STRONG,268,222,了
0x1E6,EC E6,部,U+90E8,CONTEXT_SUPPORTED,A_STRONG,34,29,部
0x1E7,EC E7,队,U+961F,CONTEXT_SUPPORTED,A_STRONG,15,13,隊
0x1E8,EC E8,表,U+8868,CONTEXT_SUPPORTED,A_STRONG,12,10,表
0x1E9,EC E9,全,U+5168,CONTEXT_SUPPORTED,A_STRONG,55,47,全
0x1EA,EC EA,利,U+5229,CONTEXT_SUPPORTED,A_STRONG,19,16,利
0x1EC,EC EC,数,U+6570,CONTEXT_SUPPORTED,A_STRONG,12,10,数
0x1ED,EC ED,败,U+8D25,CONTEXT_SUPPORTED,A_STRONG,12,11,敗
0x1EE,EC EE,灭,U+706D,CONTEXT_SUPPORTED,A_STRONG,58,48,滅
0x1F2,EC F2,个,U+4E2A,CONTEXT_SUPPORTED,A_STRONG,60,51,個
0x1F3,EC F3,金,U+91D1,CONTEXT_SUPPORTED,A_STRONG,10,8,金
0x1F6,EC F6,总,U+603B,CONTEXT_SUPPORTED,A_STRONG,20,17,総
